Creating dir `./slack_dump_pdfs/` for slack dump PDFs
11  new PDFs loaded, skipped 0
         23862625 function calls (23302544 primitive calls) in 16.103 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 :1(<module>)
        1    0.000    0.000    0.000    0.000 :1(AnchorAttributes)
        1    0.000    0.000    0.000    0.000 :1(CannotDetermineSpecificationAttributes)
        1    0.000    0.000    0.000    0.000 :1(DynamicAnchorAttributes)
        1    0.000    0.000    0.000    0.000 :1(InvalidAnchorAttributes)
        1    0.000    0.000    0.000    0.000 :1(NoInternalIDAttributes)
        1    0.000    0.000    0.000    0.000 :1(NoSuchAnchorAttributes)
        1    0.000    0.000    0.000    0.000 :1(NoSuchResourceAttributes)
        1    0.000    0.000    0.000    0.000 :1(PointerToNowhereAttributes)
        1    0.000    0.000    0.000    0.000 :1(RegistryAttributes)
        1    0.000    0.000    0.000    0.000 :1(ResolvedAttributes)
        1    0.000    0.000    0.000    0.000 :1(ResolverAttributes)
        1    0.000    0.000    0.000    0.000 :1(ResourceAttributes)
        1    0.000    0.000    0.000    0.000 :1(RetrievedAttributes)
        1    0.000    0.000    0.000    0.000 :1(SpecificationAttributes)
        1    0.000    0.000    0.000    0.000 :1(TypeCheckerAttributes)
        1    0.000    0.000    0.000    0.000 :1(UnknownDialectAttributes)
        1    0.000    0.000    0.000    0.000 :1(UnresolvableAttributes)
        1    0.000    0.000    0.000    0.000 :1(UnretrievableAttributes)
        1    0.000    0.000    0.000    0.000 :1(ValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(VersionInfoAttributes)
        1    0.000    0.000    0.000    0.000 :1(_AndValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_AttributesAttributes)
        1    0.000    0.000    0.000    0.000 :1(_DeepIterableAttributes)
        1    0.000    0.000    0.000    0.000 :1(_DeepMappingAttributes)
        1    0.000    0.000    0.000    0.000 :1(_InValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_InstanceOfValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_IsCallableValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_MatchesReValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_MaxLengthValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_MinLengthValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_NotValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_NumberValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_OptionalValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_ProvidesValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_RefResolutionErrorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_SubclassOfValidatorAttributes)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr._make.Attribute>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr._make.Factory>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr._make._AndValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr._make._CountingAttr>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._DeepIterable>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._DeepMapping>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._InValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._InstanceOfValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._IsCallableValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._MatchesReValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._MaxLengthValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._MinLengthValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._NotValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._NumberValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._OptionalValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._ProvidesValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq attr.validators._SubclassOfValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq jsonschema._types.TypeChecker>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq jsonschema.validators.create.<locals>.Validator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing._core.Anchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing._core.Registry>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing._core.Registry>:1(__eq__)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing._core.Resolved>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing._core.Resolver>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing._core.Resource>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing._core.Retrieved>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing._core.Specification>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq referencing.jsonschema.DynamicAnchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash attr._make.Attribute>:1(<module>)
